team_uri,team_name,stadium,founded
http://dbpedia.org/resource/1995–96_Nottingham_Forest_F.C._season,1995–96 Nottingham Forest F.C. season,http://dbpedia.org/resource/City_Ground,Unknown
http://dbpedia.org/resource/1995–96_Queens_Park_Rangers_F.C._season,1995–96 Queens Park Rangers F.C. season,http://dbpedia.org/resource/Loftus_Road,Unknown
http://dbpedia.org/resource/1995–96_Sheffield_Wednesday_F.C._season,1995–96 Sheffield Wednesday F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1995–96_Southampton_F.C._season,1995–96 Southampton F.C. season,http://dbpedia.org/resource/The_Dell_(Southampton),Unknown
http://dbpedia.org/resource/1995–96_Tottenham_Hotspur_F.C._season,1995–96 Tottenham Hotspur F.C. season,http://dbpedia.org/resource/White_Hart_Lane,Unknown
http://dbpedia.org/resource/1995–96_West_Ham_United_F.C._season,1995–96 West Ham United F.C. season,http://dbpedia.org/resource/Boleyn_Ground,Unknown
http://dbpedia.org/resource/1995–96_Wimbledon_F.C._season,1995–96 Wimbledon F.C. season,http://dbpedia.org/resource/Selhurst_Park,Unknown
http://dbpedia.org/resource/1996–97_Arsenal_F.C._season,1996–97 Arsenal F.C. season,http://dbpedia.org/resource/Arsenal_Stadium,Unknown
http://dbpedia.org/resource/1996–97_Aston_Villa_F.C._season,1996–97 Aston Villa F.C. season,http://dbpedia.org/resource/Villa_Park,Unknown
http://dbpedia.org/resource/1996–97_Blackburn_Rovers_F.C._season,1996–97 Blackburn Rovers F.C. season,http://dbpedia.org/resource/Ewood_Park,Unknown
http://dbpedia.org/resource/1996–97_Chelsea_F.C._season,1996–97 Chelsea F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1996–97_Coventry_City_F.C._season,1996–97 Coventry City F.C. season,http://dbpedia.org/resource/Highfield_Road,Unknown
http://dbpedia.org/resource/1996–97_Derby_County_F.C._season,1996–97 Derby County F.C. season,http://dbpedia.org/resource/Baseball_Ground,Unknown
http://dbpedia.org/resource/1996–97_Everton_F.C._season,1996–97 Everton F.C. season,http://dbpedia.org/resource/Goodison_Park,Unknown
http://dbpedia.org/resource/1996–97_Leeds_United_A.F.C._season,1996–97 Leeds United A.F.C. season,http://dbpedia.org/resource/Elland_Road,Unknown
http://dbpedia.org/resource/1996–97_Leicester_City_F.C._season,1996–97 Leicester City F.C. season,http://dbpedia.org/resource/Filbert_Street,Unknown
http://dbpedia.org/resource/1996–97_Liverpool_F.C._season,1996–97 Liverpool F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1996–97_Middlesbrough_F.C._season,1996–97 Middlesbrough F.C. season,http://dbpedia.org/resource/Riverside_Stadium,Unknown
http://dbpedia.org/resource/1996–97_Newcastle_United_F.C._season,1996–97 Newcastle United F.C. season,http://dbpedia.org/resource/St_James'_Park,Unknown
http://dbpedia.org/resource/1996–97_Nottingham_Forest_F.C._season,1996–97 Nottingham Forest F.C. season,http://dbpedia.org/resource/City_Ground,Unknown
http://dbpedia.org/resource/1996–97_Sheffield_Wednesday_F.C._season,1996–97 Sheffield Wednesday F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1996–97_Southampton_F.C._season,1996–97 Southampton F.C. season,http://dbpedia.org/resource/The_Dell_(Southampton),Unknown
